group,id,title_ru,size,directions,images,method,priority,prompt_en,note
tiles,tiles_grass_heather_summer,Трава ↔ вереск (summer),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short grass', upper 'lilac heather moorland', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_heather_autumn,Трава ↔ вереск (autumn),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short grass in autumn colours', upper 'lilac heather moorland in autumn colours', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_heather_winter,Трава ↔ вереск (winter),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short grass covered with snow', upper 'lilac heather moorland covered with snow', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_bog_spring,Трава ↔ торфяное болото (spring),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short grass', upper 'dark wet peat bog with pools', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_bog_summer,Трава ↔ торфяное болото (summer),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short grass', upper 'dark wet peat bog with pools', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_bog_autumn,Трава ↔ торфяное болото (autumn),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short grass in autumn colours', upper 'dark wet peat bog with pools in autumn colours', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_bog_winter,Трава ↔ торфяное болото (winter),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short grass covered with snow', upper 'dark wet peat bog with pools covered with snow', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_cobble_spring,Трава ↔ булыжник деревни (spring),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short grass', upper 'grey cobblestone street', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_cobble_summer,Трава ↔ булыжник деревни (summer),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short grass', upper 'grey cobblestone street', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_cobble_autumn,Трава ↔ булыжник деревни (autumn),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short grass in autumn colours', upper 'grey cobblestone street in autumn colours', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_cobble_winter,Трава ↔ булыжник деревни (winter),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short grass covered with snow', upper 'grey cobblestone street covered with snow', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_forest_spring,Трава ↔ лесная подстилка (spring),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short grass', upper 'birch forest floor with leaves', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_forest_summer,Трава ↔ лесная подстилка (summer),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short grass', upper 'birch forest floor with leaves', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_forest_autumn,Трава ↔ лесная подстилка (autumn),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short grass in autumn colours', upper 'birch forest floor with leaves in autumn colours', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_forest_winter,Трава ↔ лесная подстилка (winter),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short grass covered with snow', upper 'birch forest floor with leaves covered with snow', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_soil_spring,Трава ↔ поле (земля) (spring),16x16 ×16 (Wang),1,1,create-tileset,P1,"top-down tileset: lower 'short grass', upper 'bare farm soil', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_soil_summer,Трава ↔ поле (земля) (summer),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short grass', upper 'bare farm soil', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_soil_autumn,Трава ↔ поле (земля) (autumn),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short grass in autumn colours', upper 'bare farm soil in autumn colours', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_soil_winter,Трава ↔ поле (земля) (winter),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short grass covered with snow', upper 'bare farm soil covered with snow', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_graveyard_spring,Трава ↔ земля погоста (spring),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short grass', upper 'trodden graveyard earth with gravel', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_graveyard_summer,Трава ↔ земля погоста (summer),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short grass', upper 'trodden graveyard earth with gravel', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_graveyard_autumn,Трава ↔ земля погоста (autumn),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short grass in autumn colours', upper 'trodden graveyard earth with gravel in autumn colours', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grass_graveyard_winter,Трава ↔ земля погоста (winter),16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'short grass covered with snow', upper 'trodden graveyard earth with gravel covered with snow', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_sand_wet,Сухой ↔ мокрый песок (приливная полоса),16x16 ×16 (Wang),1,1,create-tileset,P1,"top-down tileset: lower 'dry pale sand', upper 'dark wet sand with foam lines', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_wet_shallow,Мокрый песок ↔ мелкая вода,16x16 ×16 (Wang),1,1,create-tileset,P1,"top-down tileset: lower 'wet sand', upper 'shallow turquoise sea water', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_shallow_deep,Мелкая ↔ глубокая вода,16x16 ×16 (Wang),1,1,create-tileset,P1,"top-down tileset: lower 'shallow turquoise water', upper 'deep slate-blue sea', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_rock_water,Скалы ↔ вода,16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'dark basalt shore rocks', upper 'sea water with foam', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_lagoon_ice,Лагуна ↔ лёд,16x16 ×16 (Wang),1,1,create-tileset,P3,"top-down tileset: lower 'calm lagoon water', upper 'frozen lagoon ice with snow', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_reeds_water,Тростник ↔ вода,16x16 ×16 (Wang),1,1,create-tileset,P3,"top-down tileset: lower 'reed bed', upper 'still pond water', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_sea_chart_reef,Открытое море ↔ рифы,16x16 ×16 (Wang),1,1,create-tileset,P3,"top-down tileset: lower 'open sea', upper 'reef rocks and breakers', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_sea_ice_field,Море ↔ ледяное поле,16x16 ×16 (Wang),1,1,create-tileset,P3,"top-down tileset: lower 'cold open sea', upper 'broken ice field', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_floor_wood,Интерьер: дощатый пол ↔ стена,16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'wooden plank floor', upper 'timber wall with beams', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_floor_stone,Интерьер: каменный пол ↔ стена,16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'stone flag floor', upper 'whitewashed stone wall', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_floor_plaster,Интерьер: пол ↔ оштукатуренная стена,16x16 ×16 (Wang),1,1,create-tileset,P3,"top-down tileset: lower 'painted floorboards', upper 'plaster wall', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_floor_hut,Интерьер хижины: земляной пол ↔ стена,16x16 ×16 (Wang),1,1,create-tileset,P3,"top-down tileset: lower 'earthen floor with rugs', upper 'turf and log wall', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_lighthouse_round,Этажи маяка: пол ↔ круглая стена,16x16 ×16 (Wang),1,1,create-tileset,P1,"top-down tileset: lower 'worn stone floor', upper 'curved lighthouse wall', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_deep_kelp,Глубь 1–20: дно ↔ стена (кельповый лес),16x16 ×16 (Wang),1,1,create-tileset,P3,"top-down tileset: lower 'sandy seabed with kelp roots', upper 'rock wall overgrown with kelp', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_deep_solvik,Глубь 21–40: дно ↔ стена (Старый Сольвик),16x16 ×16 (Wang),1,1,create-tileset,P3,"top-down tileset: lower 'sunken cobble street', upper 'drowned stone house walls', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_deep_bone,Глубь 41–60: дно ↔ стена (Костяная Бездна),16x16 ×16 (Wang),1,1,create-tileset,P3,"top-down tileset: lower 'dark abyss silt', upper 'walls of giant whale bones', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grotto_floor,Гроты: пол ↔ стена,16x16 ×16 (Wang),1,1,create-tileset,P3,"top-down tileset: lower 'wet cave floor', upper 'tidal cave rock wall', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_grotto_water,Гроты: пол ↔ приливная вода,16x16 ×16 (Wang),1,1,create-tileset,P3,"top-down tileset: lower 'wet cave floor', upper 'rising tidal water', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_rann_halls,Чертоги Ранн,16x16 ×16 (Wang),1,1,create-tileset,P3,"top-down tileset: lower 'mother-of-pearl floor', upper 'coral and pearl walls', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tiles_pier_planks,Причал: доски ↔ вода,16x16 ×16 (Wang),1,1,create-tileset,P2,"top-down tileset: lower 'wooden pier planks', upper 'sea water between piles', pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",1 вызов = 16 тайлов перехода
tiles,tile_soil_tilled,Вскопанная земля,16x16,1,1,create-1-direction-object (пакет),P1,"seamless 16x16 ground tile: Вскопанная земля — pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",пакетом ≤64 за вызов
tiles,tile_soil_watered,Политая земля,16x16,1,1,create-1-direction-object (пакет),P1,"seamless 16x16 ground tile: Политая земля — pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",пакетом ≤64 за вызов
tiles,tile_soil_salt1,"Земля, Соль 1 (корка)",16x16,1,1,create-1-direction-object (пакет),P1,"seamless 16x16 ground tile: Земля, Соль 1 (корка) — pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",пакетом ≤64 за вызов
tiles,tile_soil_salt2,"Земля, Соль 2 (белая корка)",16x16,1,1,create-1-direction-object (пакет),P1,"seamless 16x16 ground tile: Земля, Соль 2 (белая корка) — pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",пакетом ≤64 за вызов
tiles,tile_soil_watered_salt,Политая солёная земля,16x16,1,1,create-1-direction-object (пакет),P1,"seamless 16x16 ground tile: Политая солёная земля — pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",пакетом ≤64 за вызов
tiles,tile_greenhouse_floor,Пол теплицы,16x16,1,1,create-1-direction-object (пакет),P2,"seamless 16x16 ground tile: Пол теплицы — pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",пакетом ≤64 за вызов
tiles,tile_peat_cut,Срезанный торф,16x16,1,1,create-1-direction-object (пакет),P2,"seamless 16x16 ground tile: Срезанный торф — pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",пакетом ≤64 за вызов
tiles,tile_sand_dug,Вскопанный песок,16x16,1,1,create-1-direction-object (пакет),P2,"seamless 16x16 ground tile: Вскопанный песок — pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",пакетом ≤64 за вызов
tiles,tile_stone_path,Каменная дорожка,16x16,1,1,create-1-direction-object (пакет),P2,"seamless 16x16 ground tile: Каменная дорожка — pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",пакетом ≤64 за вызов
tiles,tile_snow_trampled,Утоптанный снег,16x16,1,1,create-1-direction-object (пакет),P2,"seamless 16x16 ground tile: Утоптанный снег — pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",пакетом ≤64 за вызов
buildings,lighthouse,Маяк «Вороний Глаз» — запущенный,48x144,1,1,map-objects,P1,"tall white-and-red stone lighthouse, peeling paint, cracked lantern glass, pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",
buildings,lighthouse_repaired,Маяк — отремонтированный,48x144,1,1,map-objects,P1,"restored white-and-red lighthouse with brass lantern room, pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",
buildings,lighthouse_lit,Маяк — фонарная горит (ночь),48x144,1,1,map-objects,P1,"lighthouse at night, lantern room glowing amber, pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",
buildings,house_1,"Дом смотрителя, ур. 0–1",96x80,1,1,map-objects,P1,"small stone keeper's cottage with turf roof and chimney, pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",
buildings,house_2,"Дом смотрителя, ур. 2 (спальня, детская)",112x88,1,1,map-objects,P2,"enlarged keeper's cottage with a new wing, pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",
buildings,house_3,"Дом смотрителя, ур. 3 (погреб)",112x96,1,1,map-objects,P3,"keeper's house with cellar door and porch, pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",
buildings,morgue,Покойницкая,64x56,1,1,map-objects,P2,"small grim stone mortuary shed with heavy door, pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",
buildings,ice_house,Ледник,48x40,1,1,map-objects,P3,"half-buried ice house with turf roof, pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",
buildings,boathouse_1,Лодочный сарай ур. 1,64x48,1,1,map-objects,P2,"wooden boathouse on the shore, pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",
buildings,boathouse_2,Лодочный сарай ур. 2,80x56,1,1,map-objects,P3,"larger boathouse with slipway, pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",
buildings,boathouse_3,Лодочный сарай ур. 3,96x64,1,1,map-objects,P3,"big boathouse for a sailing bot, pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",
buildings,coop_1,Курятник ур. 1,48x40,1,1,map-objects,P2,"small wooden hen house, pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",
buildings,coop_2,Курятник ур. 2,56x44,1,1,map-objects,P3,"bigger hen house, pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",
buildings,coop_3,Курятник ур. 3,64x48,1,1,map-objects,P3,"large hen house with run, pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",
buildings,barn_1,Хлев ур. 1,64x48,1,1,map-objects,P2,"red wooden barn, pixel art, 3/4 top-down view, cozy northern island, muted cold palette (slate sea, basalt, moss, lilac heather) with warm amber lamp light, light from top-left, 1px dark selective outline",
